Tag_IDX,X,Y,Z,Freq_MHz,BaseRSSI
T01,6.35,2.54,0,914777508.351506,116.573467247701
T02,16.51,2.54,0,915176957.270736,109.471656888685
T03,6.35,10.16,0,914493672.191342,117.258366815343
T04,16.51,10.16,0,914044414.048721,113.172039696411
